Feature,Importance
categorical__Manufacturing Site_GSK Barnard Castle UK,0.0
categorical__Vendor_ABBOTT LOGISTICS B.V.,0.0
"categorical__Vendor_ACCESS BIO, INC.",0.0
categorical__Vendor_ACOUNS NIGERIA LTD,0.0
categorical__Vendor_ACTION MEDEOR E.V.,0.0
categorical__Vendor_AHN (PTY) LTD (AKA UCB (S.A.),0.0
categorical__Vendor_AMSTELFARMA B.V.,0.0
categorical__Vendor_AUROBINDO PHARAM (SOUTH AFRICA),0.0
categorical__Vendor_B&C GROUP S.A.,0.0
categorical__Vendor_BIO-RAD LABORATORIES PTY LTD. (SOUTH AFRICA),0.0
categorical__Vendor_BIOLYTICAL LABORATORIES INC.,0.0
categorical__Vendor_BRISTOL-MYERS SQUIBB,0.0
categorical__Vendor_BUNDI INTERNATIONAL DIAGNOSTICS LTD,0.0
categorical__Vendor_CENTRAL PHARMACEUTICAL COMPANY NO. 1,0.0
categorical__Vendor_ETHNOR DEL ISTMO S.A.,0.0
categorical__Vendor_EY Laboratories,0.0
"categorical__Vendor_GILEAD SCIENCES IRELAND, INC.",0.0
"categorical__Vendor_ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.)",0.0
categorical__Vendor_ABBOTT LABORATORIES (PUERTO RICO),0.0
"categorical__Manufacturing Site_EY Laboratories, USA",0.0
categorical__Product Group_MRDT,0.0
categorical__Country_Guatemala,0.0
categorical__Country_Guinea,0.0
categorical__Country_Kazakhstan,0.0
categorical__Country_Kyrgyzstan,0.0
categorical__Country_Lebanon,0.0
categorical__Country_Lesotho,0.0
categorical__Country_Liberia,0.0
categorical__Country_Libya,0.0
categorical__Country_Malawi,0.0
categorical__Country_Mali,0.0
categorical__Country_Pakistan,0.0
categorical__Country_Senegal,0.0
categorical__Country_Sierra Leone,0.0
categorical__Country_Togo,0.0
categorical__Country_Burkina Faso,0.0
categorical__Vendor_GLAXOSMITHKLINE EXPORT LIMITED,0.0
categorical__Vendor_HUMAN GMBH,0.0
categorical__Vendor_Hoffmann-La Roche ltd Basel,0.0
categorical__Vendor_IDIS LIMITED,0.0
categorical__Vendor_SWORDS LABORATORIES,0.0
categorical__Vendor_SYSMEX AMERICA INC,0.0
categorical__Vendor_THE MEDICAL EXPORT GROUP BV,0.0
categorical__Vendor_TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,0.0
categorical__Vendor_WAGENIA,0.0
categorical__Vendor_ZEPHYR BIOMEDICALS,0.0
categorical__Manufacturing Site_ABBSP,0.0
